,Solvent,dH (kJ/mol),dS (J/mol/K),BASE_State,BASE_Category,Canonical SMILES,Source,GT_Data,BASE_Monomer_State,BASE_Polymer_State,Solvent_SMILES,Solvent_SMILES_2,SOLV_PARAM_s_g,SOLV_PARAM_b_g,SOLV_PARAM_e_g,SOLV_PARAM_l_g,SOLV_PARAM_a_g,SOLV_PARAM_c_g,SOLV_PARAM_visc at 298 K (cP),SOLV_PARAM_dielectric constant,PEP_dHf_0,PEP_dHf_1,PEP_dHf_2,PEP_dH_(kcal/mol),TANIMOTO,DIPOLE_mmff94,MIX_dGsolv298(kJ/mol),MIX_dHsolv298(kJ/mol),MIX_dSsolv298(kJ/mol/K),MIX_logK,MIX_logP,SOLUTE_E_GC,SOLUTE_S_GC,SOLUTE_A_GC,SOLUTE_B_GC,SOLUTE_L_GC,SOLUTE_V_GC,SOLUTE_E_ML,SOLUTE_S_ML,SOLUTE_A_ML,SOLUTE_B_ML,SOLUTE_L_ML,SOLUTE_V_ML,RDKIT_MaxAbsEStateIndex,RDKIT_MaxEStateIndex,RDKIT_MinAbsEStateIndex,RDKIT_MinEStateIndex,RDKIT_qed,RDKIT_SPS,RDKIT_MolWt,RDKIT_HeavyAtomMolWt,RDKIT_ExactMolWt,RDKIT_NumValenceElectrons,RDKIT_NumRadicalElectrons,RDKIT_MaxPartialCharge,RDKIT_MinPartialCharge,RDKIT_MaxAbsPartialCharge,RDKIT_MinAbsPartialCharge,RDKIT_FpDensityMorgan1,RDKIT_FpDensityMorgan2,RDKIT_FpDensityMorgan3,RDKIT_BCUT2D_MWHI,RDKIT_BCUT2D_MWLOW,RDKIT_BCUT2D_CHGHI,RDKIT_BCUT2D_CHGLO,RDKIT_BCUT2D_LOGPHI,RDKIT_BCUT2D_LOGPLOW,RDKIT_BCUT2D_MRHI,RDKIT_BCUT2D_MRLOW,RDKIT_AvgIpc,RDKIT_BalabanJ,RDKIT_BertzCT,RDKIT_Chi0,RDKIT_Chi0n,RDKIT_Chi0v,RDKIT_Chi1,RDKIT_Chi1n,RDKIT_Chi1v,RDKIT_Chi2n,RDKIT_Chi2v,RDKIT_Chi3n,RDKIT_Chi3v,RDKIT_Chi4n,RDKIT_Chi4v,RDKIT_HallKierAlpha,RDKIT_Ipc,RDKIT_Kappa1,RDKIT_Kappa2,RDKIT_Kappa3,RDKIT_LabuteASA,RDKIT_PEOE_VSA1,RDKIT_PEOE_VSA10,RDKIT_PEOE_VSA11,RDKIT_PEOE_VSA12,RDKIT_PEOE_VSA13,RDKIT_PEOE_VSA14,RDKIT_PEOE_VSA2,RDKIT_PEOE_VSA3,RDKIT_PEOE_VSA4,RDKIT_PEOE_VSA5,RDKIT_PEOE_VSA6,RDKIT_PEOE_VSA7,RDKIT_PEOE_VSA8,RDKIT_PEOE_VSA9,RDKIT_SMR_VSA1,RDKIT_SMR_VSA10,RDKIT_SMR_VSA2,RDKIT_SMR_VSA3,RDKIT_SMR_VSA4,RDKIT_SMR_VSA5,RDKIT_SMR_VSA6,RDKIT_SMR_VSA7,RDKIT_SMR_VSA8,RDKIT_SMR_VSA9,RDKIT_SlogP_VSA1,RDKIT_SlogP_VSA10,RDKIT_SlogP_VSA11,RDKIT_SlogP_VSA12,RDKIT_SlogP_VSA2,RDKIT_SlogP_VSA3,RDKIT_SlogP_VSA4,RDKIT_SlogP_VSA5,RDKIT_SlogP_VSA6,RDKIT_SlogP_VSA7,RDKIT_SlogP_VSA8,RDKIT_SlogP_VSA9,RDKIT_TPSA,RDKIT_EState_VSA1,RDKIT_EState_VSA10,RDKIT_EState_VSA11,RDKIT_EState_VSA2,RDKIT_EState_VSA3,RDKIT_EState_VSA4,RDKIT_EState_VSA5,RDKIT_EState_VSA6,RDKIT_EState_VSA7,RDKIT_EState_VSA8,RDKIT_EState_VSA9,RDKIT_VSA_EState1,RDKIT_VSA_EState10,RDKIT_VSA_EState2,RDKIT_VSA_EState3,RDKIT_VSA_EState4,RDKIT_VSA_EState5,RDKIT_VSA_EState6,RDKIT_VSA_EState7,RDKIT_VSA_EState8,RDKIT_VSA_EState9,RDKIT_FractionCSP3,RDKIT_HeavyAtomCount,RDKIT_NHOHCount,RDKIT_NOCount,RDKIT_NumAliphaticCarbocycles,RDKIT_NumAliphaticHeterocycles,RDKIT_NumAliphaticRings,RDKIT_NumAromaticCarbocycles,RDKIT_NumAromaticHeterocycles,RDKIT_NumAromaticRings,RDKIT_NumHAcceptors,RDKIT_NumHDonors,RDKIT_NumHeteroatoms,RDKIT_NumRotatableBonds,RDKIT_NumSaturatedCarbocycles,RDKIT_NumSaturatedHeterocycles,RDKIT_NumSaturatedRings,RDKIT_RingCount,RDKIT_MolLogP,RDKIT_MolMR,RDKIT_fr_Al_COO,RDKIT_fr_Al_OH,RDKIT_fr_Al_OH_noTert,RDKIT_fr_ArN,RDKIT_fr_Ar_COO,RDKIT_fr_Ar_N,RDKIT_fr_Ar_NH,RDKIT_fr_Ar_OH,RDKIT_fr_COO,RDKIT_fr_COO2,RDKIT_fr_C_O,RDKIT_fr_C_O_noCOO,RDKIT_fr_C_S,RDKIT_fr_HOCCN,RDKIT_fr_Imine,RDKIT_fr_NH0,RDKIT_fr_NH1,RDKIT_fr_NH2,RDKIT_fr_N_O,RDKIT_fr_Ndealkylation1,RDKIT_fr_Ndealkylation2,RDKIT_fr_Nhpyrrole,RDKIT_fr_SH,RDKIT_fr_aldehyde,RDKIT_fr_alkyl_carbamate,RDKIT_fr_alkyl_halide,RDKIT_fr_allylic_oxid,RDKIT_fr_amide,RDKIT_fr_amidine,RDKIT_fr_aniline,RDKIT_fr_aryl_methyl,RDKIT_fr_azide,RDKIT_fr_azo,RDKIT_fr_barbitur,RDKIT_fr_benzene,RDKIT_fr_benzodiazepine,RDKIT_fr_bicyclic,RDKIT_fr_diazo,RDKIT_fr_dihydropyridine,RDKIT_fr_epoxide,RDKIT_fr_ester,RDKIT_fr_ether,RDKIT_fr_furan,RDKIT_fr_guanido,RDKIT_fr_halogen,RDKIT_fr_hdrzine,RDKIT_fr_hdrzone,RDKIT_fr_imidazole,RDKIT_fr_imide,RDKIT_fr_isocyan,RDKIT_fr_isothiocyan,RDKIT_fr_ketone,RDKIT_fr_ketone_Topliss,RDKIT_fr_lactam,RDKIT_fr_lactone,RDKIT_fr_methoxy,RDKIT_fr_morpholine,RDKIT_fr_nitrile,RDKIT_fr_nitro,RDKIT_fr_nitro_arom,RDKIT_fr_nitro_arom_nonortho,RDKIT_fr_nitroso,RDKIT_fr_oxazole,RDKIT_fr_oxime,RDKIT_fr_para_hydroxylation,RDKIT_fr_phenol,RDKIT_fr_phenol_noOrthoHbond,RDKIT_fr_phos_acid,RDKIT_fr_phos_ester,RDKIT_fr_piperdine,RDKIT_fr_piperzine,RDKIT_fr_priamide,RDKIT_fr_prisulfonamd,RDKIT_fr_pyridine,RDKIT_fr_quatN,RDKIT_fr_sulfide,RDKIT_fr_sulfonamd,RDKIT_fr_sulfone,RDKIT_fr_term_acetylene,RDKIT_fr_tetrazole,RDKIT_fr_thiazole,RDKIT_fr_thiocyan,RDKIT_fr_thiophene,RDKIT_fr_unbrch_alkane,RDKIT_fr_urea,STERICS_Backbone_Length,STERICS_Side_Chain_Ratio,STERICS_Wiener_Index,STERICS_Chiral_Centers,STERICS_Rad_Gyration,STERICS_VDW_Volume,STERICS_Volume,STERICS_Bridgehead_Atoms,STERICS_Stereocenters
0,,-21,7,ls,ROP,O=C1CCCCCCCO1,PHB,FALSE,l,s,,,,,,,,,,,-115.97,-133.2,-249.17,-2.84E-14,1,2.22,-34.69,-57.39,-0.0762,6.08,1.88,0.3888,1.3665,0,0.4924,5.2968,1.2016,0.3899,1.4353,-0.002,0.5721,5.239,1.2016,10.76638889,10.76638889,0.01212963,-0.01212963,0.482600394,22.2,142.198,128.086,142.0993797,58,0,0.305277516,-0.465675005,0.465675005,0.305277516,1,1.7,2.6,16.53236433,10.13008048,2.037557759,-1.98650569,2.086505533,-2.031487318,5.687147782,-0.143176274,2.021310015,2.209817909,97.82521877,7.234204519,6.266244049,6.266244049,4.89384685,4.050476816,4.050476816,2.738237133,2.738237133,1.788288118,1.788288118,1.159902743,1.159902743,-0.53,226.3867216,7.575596621,4.311528395,2.852566646,61.563082,4.736862954,0,0,0,0,5.969305288,4.794537184,0,0,0,19.26246487,12.84164325,6.420821623,6.606881965,9.531400138,5.969305288,0,0,0,38.52492974,6.606881965,0,0,0,0,0,0,0,12.57618725,9.531400138,0,38.52492974,0,0,0,0,26.3,0,4.794537184,0,5.969305288,13.02770359,12.84164325,19.26246487,0,0,0,4.736862954,4.923888889,0,10.76638889,0,0,-0.01212963,0,6.350787037,0.637731481,0,0.875,10,0,2,0,1,1,0,0,0,2,0,2,0,0,1,1,1,1.8838,38.661,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.08,277,0,2.069973286,244.2902447,1372.582774,0,0
1,toluene,-18.1,8.7,ss,ROP,CC1CCCSC(=S)S1,"Recyclable Sulfur-Rich Polymers with Enhanced Thermal, Mechanical, and Optical Performance",TRUE,s,s,CC1=CC=CC=C1,,0.9,0.12,-0.32,1.03,0.59,0.08,0.56,2.2,5.62,-13.96,-8.34,-6.22E-15,0.065,4.18,-21.97,-36.39,-0.0484,3.85,3.28,1.153,1.229,0,0.4776,6.2669,1.2929,1.429,1.1436,-0.0274,0.4011,6.8677,1.2929,5.095324074,5.095324074,0.756944444,0.756944444,0.523498996,29.88888889,178.347,168.267,177.9944633,52,0,0.104007973,-0.107793952,0.107793952,0.104007973,1.666666667,2.444444444,3.222222222,32.23479374,10.26418336,2.103814782,-2.022860677,2.288603629,-1.932098074,8.469410943,0.799619642,1.93019449,2.373728729,110.8706003,6.690234444,5.423415484,7.872905227,4.2876937,3.12234839,5.395848052,2.169158585,5.906522125,1.272310689,4.115790556,0.783505611,3.631991249,0.79,119.6720584,7.892145046,3.837392127,2.915417883,70.16313074,0,3.528631286,0,0,0,0,0,0,0,23.5237699,19.14161064,18.59449685,5.24993803,0,0,39.27027463,0,0,0,25.01531848,5.752853607,0,0,0,0,0,0,35.74164334,14.53142292,0,0,19.76538045,0,0,0,0,0,0,0,0,0,0,8.778569316,18.59449685,0,23.5237699,6.9237372,12.21787344,1.138888889,8.788888889,0,0.756944444,0,1.232314815,0,2.663472222,2.252824074,0,0.833333333,9,0,0,0,1,1,0,0,0,3,0,3,0,0,1,1,1,2.92,51.343,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0.18,192,0,2.201473436,219.8612203,1235.324497,0,1
2,,-22,12,ls,ROP,O=C1CCCCCCCCO1,PHB,FALSE,l,s,,,,,,,,,,,-120.87,-138.1,-258.97,-2.84E-14,1,2.03,-36.04,-58.46,-0.0752,6.32,2.23,0.414,1.4218,0,0.4734,5.7803,1.3425,0.3658,1.4149,-0.0004,0.5774,5.6673,1.3425,10.87863379,10.87863379,0.0075,-0.0075,0.502796183,22.36363636,156.225,140.097,156.1150298,64,0,0.305277516,-0.465675005,0.465675005,0.305277516,0.909090909,1.545454545,2.363636364,16.53235342,10.09035413,2.033649916,-2.069378885,2.09652916,-2.06157739,5.68698848,-0.143555783,2.026975918,2.168489512,108.7311407,7.9413113,6.97335083,6.97335083,5.39384685,4.550476816,4.550476816,3.091790524,3.091790524,2.038288118,2.038288118,1.336679439,1.336679439,-0.53,364.8556652,8.565510984,5.164044355,4.016653299,67.92802412,4.736862954,0,0,0,0,5.969305288,4.794537184,0,0,0,25.68328649,12.84164325,6.420821623,6.606881965,9.531400138,5.969305288,0,0,0,44.94575136,6.606881965,0,0,0,0,0,0,0,12.57618725,9.531400138,0,44.94575136,0,0,0,0,26.3,0,4.794537184,0,5.969305288,13.02770359,12.84164325,25.68328649,0,0,0,4.736862954,4.979444444,0,10.87863379,0,0,-0.0075,0,7.678356954,0.637731481,0,0.888888889,11,0,2,0,1,1,0,0,0,2,0,2,0,0,1,1,1,2.2739,43.278,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.08,354,0,2.23145057,268.7192692,1509.841052,0,0
3,,-24,18,ls,ROP,O=C1CCCCCCCCCO1,PHB,FALSE,l,s,,,,,,,,,,,-125.77,-143,-268.77,-2.84E-14,1,2.04,-37.61,-59.92,-0.0749,6.59,2.59,0.4587,1.3428,0,0.4924,6.2626,1.4834,0.35,1.3989,0.0002,0.5773,6.0664,1.4834,10.99087868,10.99087868,0.00287037,-0.00287037,0.522327979,22.5,170.252,152.108,170.1306798,70,0,0.305277516,-0.465675005,0.465675005,0.305277516,0.833333333,1.416666667,2.166666667,16.5323519,10.09159563,2.030786339,-2.012599202,2.10470744,-2.043656952,5.686934166,-0.143382999,2.110690729,2.17309878,117.8002691,8.648418081,7.680457612,7.680457612,5.89384685,5.050476816,5.050476816,3.445343915,3.445343915,2.288288118,2.288288118,1.513456134,1.513456134,-0.53,612.1003113,9.557183958,6.038286743,4.369018591,74.29296623,4.736862954,0,0,0,0,5.969305288,4.794537184,0,0,0,32.10410811,12.84164325,6.420821623,6.606881965,9.531400138,5.969305288,0,0,0,51.36657298,6.606881965,0,0,0,0,0,0,0,12.57618725,9.531400138,0,51.36657298,0,0,0,0,26.3,0,4.794537184,0,5.969305288,13.02770359,12.84164325,32.10410811,0,0,0,4.736862954,5.035,0,10.99087868,0,0,-0.00287037,0,9.005926871,0.637731481,0,0.9,12,0,2,0,1,1,0,0,0,2,0,2,0,0,1,1,1,2.664,47.895,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.07,444,0,2.422248507,293.1482937,1647.099329,0,0
4,,-27,25,ls,ROP,O=C1CCCCCCCCCCO1,PHB,FALSE,l,s,,,,,,,,,,,-130.67,-147.9,-278.57,-2.84E-14,1,2.01,-39.42,-61.71,-0.0748,6.91,2.98,0.4826,1.388,0,0.4924,6.8067,1.6243,0.334,1.3888,0.0017,0.5845,6.5525,1.6243,11.07681618,11.07681618,0.00053099,0.00053099,0.540755083,22.61538462,184.279,164.119,184.1463299,76,0,0.305277516,-0.465675005,0.465675005,0.305277516,0.769230769,1.307692308,2,16.53235257,10.06841177,2.028681924,-2.067187774,2.111505541,-2.055742102,5.686916904,-0.143462145,2.109006313,2.144560008,129.0257051,9.355524862,8.387564393,8.387564393,6.39384685,5.550476816,5.550476816,3.798897305,3.798897305,2.538288118,2.538288118,1.690232829,1.690232829,-0.53,978.5789294,10.55019246,6.929814187,5.669283623,80.65790835,4.736862954,0,0,0,0,5.969305288,4.794537184,0,0,0,38.52492974,12.84164325,6.420821623,6.606881965,9.531400138,5.969305288,0,0,0,57.78739461,6.606881965,0,0,0,0,0,0,0,12.57618725,9.531400138,0,57.78739461,0,0,0,0,26.3,0,4.794537184,0,5.969305288,13.02770359,12.84164325,38.52492974,0,0,0,4.736862954,5.075816327,0,11.07681618,0,0,0.00053099,0,10.37577168,0.637731481,0,0.909090909,13,0,2,0,1,1,0,0,0,2,0,2,0,0,1,1,1,3.0541,52.512,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.07,548,0,2.511329162,317.5773182,1784.357607,0,0
5,,-17,25,ls,ROP,O=C1CCCCCCCCCCCO1,PHB,FALSE,l,s,,,,,,,,,,,-135.57,-152.8,-288.37,0,1,1.96,-41.38,-63.75,-0.0751,7.25,3.4,0.5155,1.414,0,0.4924,7.379,1.7652,0.3229,1.3788,0.002,0.5846,7.0014,1.7652,11.16275368,11.16275368,0.003932351,0.003932351,0.557218276,22.71428571,198.306,176.13,198.1619799,82,0,0.305277516,-0.465675005,0.465675005,0.305277516,0.714285714,1.214285714,1.857142857,16.53235375,10.06924231,2.027140131,-2.027433601,2.117250474,-2.048261775,5.686912716,-0.143426339,2.202502568,2.147385138,138.400719,10.06263164,9.094671174,9.094671174,6.89384685,6.050476816,6.050476816,4.152450696,4.152450696,2.788288118,2.788288118,1.867009525,1.867009525,-0.53,1665.091941,11.54423905,7.83531078,6.005092742,87.02285046,4.736862954,0,0,0,0,5.969305288,4.794537184,0,0,0,44.94575136,12.84164325,6.420821623,6.606881965,9.531400138,5.969305288,0,0,0,64.20821623,6.606881965,0,0,0,0,0,0,0,12.57618725,9.531400138,0,64.20821623,0,0,0,0,26.3,0,4.794537184,0,5.969305288,13.02770359,12.84164325,44.94575136,0,0,0,4.736862954,5.116632653,0,11.16275368,0,0,0.003932351,0,11.7456165,0.637731481,0,0.916666667,14,0,2,0,1,1,0,0,0,2,0,2,0,0,1,1,1,3.4442,57.129,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.06,667,0,2.652518547,342.0063426,1921.615884,0,0
6,dichloromethane,-2.4,4.5,ss,cationic,CCCOP1(=O)OCCCO1,PHB,FALSE,s,s,C(Cl)Cl,,1.72,0.58,-0.69,0.97,0.35,0.19,0.41,8.93,-146.59,-174.42,-331.61,-10.6,0.038,3.5,-17.03,-30.97,-0.0468,2.99,2.01,0.2762,1.1962,0,0.9569,5.7126,1.2848,0.3091,1.1568,0.0767,1.0841,5.1672,1.2848,11.32541667,11.32541667,0.427854938,-3.129953704,0.62247921,23.36363636,180.14,167.036,180.0551455,66,0,0.474280395,-0.286887453,0.474280395,0.286887453,1.454545455,2.090909091,2.636363636,31.20492574,10.50173605,2.283982907,-2.208805624,2.509767466,-2.098451703,7.480660101,0.074857007,2.026808174,2.315685269,148.6612729,8.156854249,6.615740663,7.510167854,5.267766953,3.803428928,5.264022415,2.300437756,3.969461617,1.241002208,2.737408063,0.726525698,2.061725965,0.11,332.3965405,9.200009001,4.214381841,2.912486596,66.44837681,0,0,0,0,0,7.822697123,13.57124149,4.565048285,0,0,6.9237372,12.84164325,0,19.82064589,18.13628977,7.822697123,0,0,0,19.76538045,19.82064589,0,0,0,0,0,0,7.822697123,19.82064589,18.13628977,0,19.76538045,0,0,0,0,44.76,7.822697123,4.565048285,0,0,19.82064589,12.84164325,0,0,6.9237372,0,13.57124149,26.01333333,0,0,0,0,0,0,1.607326389,3.314849537,-3.129953704,1,11,0,4,0,1,1,0,0,0,4,0,5,3,0,1,1,1,1.958,40.3705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.38,306,0,2.522293635,268.7192692,1509.841052,0,1
7,toluene,12.7,-24.7,ss,ROP,CC(C)(C)C1CCOC(=O)CC1,Insights into substitution strategy towards thermodynamic and property regulation of chemically recyclable polymers,FALSE,s,s,CC1=CC=CC=C1,,0.9,0.12,-0.32,1.03,0.59,0.08,0.56,2.2,-121.24,-149.97,-282.71,-11.5,0.061,4.06,-20.8,-35.57,-0.0496,3.65,3.07,0.2362,1.2706,0,0.6385,5.9821,1.4834,0.3071,1.1709,0.0316,0.5992,5.6298,1.4834,10.93334467,10.93334467,0.026157407,-0.026157407,0.521625965,26.25,170.252,152.108,170.1306798,70,0,0.305288769,-0.465663364,0.465663364,0.305288769,1.333333333,2,2.583333333,16.53273227,9.765598214,2.268781404,-2.281473626,2.33290501,-2.199623091,5.690201347,-0.142190083,2.111263347,2.516350106,167.1676179,9.190234444,8.222273975,8.222273975,5.499018566,4.655648531,4.655648531,4.610769278,4.610769278,2.65103085,2.65103085,1.689633655,1.689633655,-0.53,411.6963527,9.557183958,3.461460988,2.504549395,74.29296623,4.736862954,0,0,0,0,5.969305288,4.794537184,0,0,0,20.7712116,24.17453976,6.420821623,6.606881965,9.531400138,5.969305288,0,0,11.33289652,40.03367647,6.606881965,0,0,0,0,0,0,0,12.57618725,9.531400138,11.33289652,40.03367647,0,0,0,0,26.3,0,4.794537184,0,5.969305288,24.3606001,12.84164325,0,0,0,20.7712116,4.736862954,4.989305556,0,10.93334467,0,0.313472222,0.6025,0,2.610625,7.300752551,0,0.9,12,0,2,0,1,1,0,0,0,2,0,2,0,0,1,1,1,2.3758,47.755,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.36,333,0,2.575818241,293.1482937,1647.099329,0,1
8,,9,-32,ls,cyclic,CC1CCCCC1,PHB,TRUE,l,s,,,,,,,,,,,-36.4,-56.11855,-93.3,-0.78145,1,0.14,-20.03,-34.61,-0.0489,3.51,4.76,0.2411,0.2419,0,0,3.4104,0.9863,0.2443,0.1253,0.0018,-0.0045,3.3575,0.9863,2.360277778,2.360277778,1.03587963,1.03587963,0.436569532,25.28571429,98.189,84.077,98.10955045,42,0,-0.044280076,-0.062509723,0.062509723,0.044280076,1,1.571428571,1.857142857,14.11563249,9.911130339,2.053987776,-2.150526872,2.214917849,-1.994101277,4.590675846,0.385092842,1.685616163,2.12291795,42,5.112884175,5.112884175,5.112884175,3.39384685,3.39384685,3.39384685,2.743182156,2.743182156,1.89384685,1.89384685,1.306712822,1.306712822,0,47.19725257,5.142857143,2.34375,1.5,45.92307256,0,0,0,0,0,0,0,0,0,0,39.02784531,5.917906046,0,0,0,0,0,0,5.917906046,39.02784531,0,0,0,0,0,0,0,0,0,0,5.917906046,39.02784531,0,0,0,0,0,0,0,0,0,0,5.917906046,32.10410811,0,0,6.9237372,0,0,0,0,0,0,1.03587963,0,7.437175926,2.360277778,0,1,7,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,2.5866,32.249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.11,110,0,1.758132178,171.0031713,960.807942,0,1
9,,3,-11,ls,cyclic,C1CCCCC1,PHB,TRUE,l,s,,,,,,,,,,,-29.46941,-49.89245,-79.3,0.06186,1,0.08,-18.58,-31.32,-0.0427,3.26,4.17,0.2427,0.2498,0,0,2.9544,0.8454,0.3176,0.1238,-0.0004,0.008,2.8841,0.8454,1.5,1.5,1.5,1.5,0.422316187,24,84.162,72.066,84.09390038,36,0,-0.053305973,-0.053305973,0.053305973,0.053305973,0.333333333,0.5,0.666666667,14.014,10.012,1.949694027,-2.052305973,2.1471,-1.8549,4.506,0.504,1.719973094,2,15.509775,4.242640687,4.242640687,4.242640687,3,3,3,2.121320344,2.121320344,1.5,1.5,1.060660172,1.060660172,0,34.39946188,4.166666667,2.222222222,1,39.55813045,0,0,0,0,0,0,0,0,0,0,38.52492974,0,0,0,0,0,0,0,0,38.52492974,0,0,0,0,0,0,0,0,0,0,0,38.52492974,0,0,0,0,0,0,0,0,0,0,0,38.52492974,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,6,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,2.3406,27.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,84,0,1.613597138,146.5741468,823.5496646,0,0
