,dH (kcal/mol),BASE_Monomer_State,BASE_Category,Canonical SMILES,Global_Test,BASE_Category_ROMP,BASE_Category_ROP,BASE_Category_cationic,BASE_Category_cyclic,BASE_Category_ionic,BASE_Category_vinyl/acrylic,BASE_Monomer_State_g,BASE_Monomer_State_l,BASE_Monomer_State_s,STERICS_Backbone_Length,PEP_dH_(kcal/mol),RDKIT_FractionCSP3,RDKIT_SPS,SOLUTE_B_ML,SOLUTE_S_GC,RDKIT_MaxPartialCharge,RDKIT_BCUT2D_MRHI,RDKIT_BalabanJ,RDKIT_MinAbsPartialCharge,RDKIT_BCUT2D_LOGPHI,SOLUTE_S_ML,PEP_dHf_0,STERICS_Side_Chain_Ratio,RDKIT_SMR_VSA7,RDKIT_SlogP_VSA6,RDKIT_BCUT2D_MRLOW,RDKIT_FpDensityMorgan1,RDKIT_MinEStateIndex,DIPOLE_mmff94,RDKIT_SlogP_VSA2,RDKIT_HallKierAlpha,RDKIT_BCUT2D_CHGLO,RDKIT_BCUT2D_CHGHI,RDKIT_BCUT2D_LOGPLOW,RDKIT_MaxAbsPartialCharge,RDKIT_AvgIpc,RDKIT_NumSaturatedRings,PEP_dHf_2,RDKIT_ExactMolWt,RDKIT_BCUT2D_MWLOW,PEP_dHf_1,RDKIT_MolWt,RDKIT_SMR_VSA5,RDKIT_MaxEStateIndex,RDKIT_NumAliphaticRings,RDKIT_MinPartialCharge,RDKIT_MinAbsEStateIndex,RDKIT_MaxAbsEStateIndex,RDKIT_VSA_EState1,RDKIT_TPSA,RDKIT_NumValenceElectrons,RDKIT_Chi3v,RDKIT_PEOE_VSA8,RDKIT_Kappa2,RDKIT_qed,SOLUTE_B_GC,RDKIT_Chi1,RDKIT_SlogP_VSA3,RDKIT_BCUT2D_MWHI,SOLUTE_E_GC,RDKIT_VSA_EState2,SOLUTE_V_GC,SOLUTE_V_ML,RDKIT_Chi3n,RDKIT_Chi4v,RDKIT_NumSaturatedHeterocycles,RDKIT_Chi4n,RDKIT_EState_VSA8,RDKIT_Chi2v,RDKIT_VSA_EState8,RDKIT_SMR_VSA1,RDKIT_FpDensityMorgan2,RDKIT_NumAliphaticHeterocycles,RDKIT_NumHAcceptors,RDKIT_SlogP_VSA5,RDKIT_FpDensityMorgan3,RDKIT_VSA_EState4,RDKIT_Chi2n,RDKIT_VSA_EState5,RDKIT_Chi0,SOLUTE_L_ML,RDKIT_Kappa1,SOLUTE_A_ML,RDKIT_PEOE_VSA7,RDKIT_LabuteASA,RDKIT_HeavyAtomCount,RDKIT_HeavyAtomMolWt,STERICS_Volume,RDKIT_RingCount
0,-5.019,l,ROP,O=C1CCCCCCCO1,False,False,True,False,False,False,False,False,True,False,11,-0.0,0.875,22.2,0.572,1.366,0.305,5.687,2.21,0.305,2.087,1.435,-115.97,0.08,0.0,0.0,-0.143,1.0,-0.012,2.22,12.576,-0.53,-1.987,2.038,-2.031,0.466,2.021,1,-249.17,142.099,10.13,-133.2,142.198,38.525,10.766,1,-0.466,0.012,10.766,4.924,26.3,58,1.788,6.421,4.312,0.483,0.492,4.894,9.531,16.532,0.389,10.766,1.202,1.202,1.788,1.16,1,1.16,0.0,2.738,0.638,9.531,1.7,1,2,38.525,2.6,0.0,2.738,-0.012,7.234,5.239,7.576,-0.002,12.842,61.563,10,128.086,1372.583,1
1,-4.326,s,ROP,CC1CCCSC(=S)S1,False,False,True,False,False,False,False,False,False,True,9,-0.0,0.833,29.889,0.401,1.229,0.104,8.469,2.374,0.104,2.289,1.144,5.62,0.18,0.0,0.0,0.8,1.667,0.757,4.18,14.531,0.79,-2.023,2.104,-1.932,0.108,1.93,1,-8.34,177.994,10.264,-13.96,178.347,25.015,5.095,1,-0.108,0.757,5.095,1.139,0.0,52,4.116,5.25,3.837,0.523,0.478,4.288,0.0,32.235,1.153,0.0,1.293,1.293,1.272,3.632,1,0.784,6.924,5.907,2.253,0.0,2.444,1,3,19.765,3.222,0.0,2.169,1.232,6.69,6.868,7.892,-0.027,18.594,70.163,9,168.267,1235.324,1
2,-5.258,l,ROP,O=C1CCCCCCCCO1,False,False,True,False,False,False,False,False,True,False,12,-0.0,0.889,22.364,0.577,1.422,0.305,5.687,2.168,0.305,2.097,1.415,-120.87,0.08,0.0,0.0,-0.144,0.909,-0.008,2.03,12.576,-0.53,-2.069,2.034,-2.062,0.466,2.027,1,-258.97,156.115,10.09,-138.1,156.225,44.946,10.879,1,-0.466,0.008,10.879,4.979,26.3,64,2.038,6.421,5.164,0.503,0.473,5.394,9.531,16.532,0.414,10.879,1.342,1.342,2.038,1.337,1,1.337,0.0,3.092,0.638,9.531,1.545,1,2,44.946,2.364,0.0,3.092,-0.008,7.941,5.667,8.566,-0.0,12.842,67.928,11,140.097,1509.841,1
3,-5.736,l,ROP,O=C1CCCCCCCCCO1,False,False,True,False,False,False,False,False,True,False,13,-0.0,0.9,22.5,0.577,1.343,0.305,5.687,2.173,0.305,2.105,1.399,-125.77,0.07,0.0,0.0,-0.143,0.833,-0.003,2.04,12.576,-0.53,-2.013,2.031,-2.044,0.466,2.111,1,-268.77,170.131,10.092,-143.0,170.252,51.367,10.991,1,-0.466,0.003,10.991,5.035,26.3,70,2.288,6.421,6.038,0.522,0.492,5.894,9.531,16.532,0.459,10.991,1.483,1.483,2.288,1.513,1,1.513,0.0,3.445,0.638,9.531,1.417,1,2,51.367,2.167,0.0,3.445,-0.003,8.648,6.066,9.557,0.0,12.842,74.293,12,152.108,1647.099,1
4,-6.453,l,ROP,O=C1CCCCCCCCCCO1,False,False,True,False,False,False,False,False,True,False,14,-0.0,0.909,22.615,0.584,1.388,0.305,5.687,2.145,0.305,2.112,1.389,-130.67,0.07,0.0,0.0,-0.143,0.769,0.001,2.01,12.576,-0.53,-2.067,2.029,-2.056,0.466,2.109,1,-278.57,184.146,10.068,-147.9,184.279,57.787,11.077,1,-0.466,0.001,11.077,5.076,26.3,76,2.538,6.421,6.93,0.541,0.492,6.394,9.531,16.532,0.483,11.077,1.624,1.624,2.538,1.69,1,1.69,0.0,3.799,0.638,9.531,1.308,1,2,57.787,2.0,0.0,3.799,0.001,9.356,6.552,10.55,0.002,12.842,80.658,13,164.119,1784.358,1
5,-4.063,l,ROP,O=C1CCCCCCCCCCCO1,False,False,True,False,False,False,False,False,True,False,15,0.0,0.917,22.714,0.585,1.414,0.305,5.687,2.147,0.305,2.117,1.379,-135.57,0.06,0.0,0.0,-0.143,0.714,0.004,1.96,12.576,-0.53,-2.027,2.027,-2.048,0.466,2.203,1,-288.37,198.162,10.069,-152.8,198.306,64.208,11.163,1,-0.466,0.004,11.163,5.117,26.3,82,2.788,6.421,7.835,0.557,0.492,6.894,9.531,16.532,0.516,11.163,1.765,1.765,2.788,1.867,1,1.867,0.0,4.152,0.638,9.531,1.214,1,2,64.208,1.857,0.0,4.152,0.004,10.063,7.001,11.544,0.002,12.842,87.023,14,176.13,1921.616,1
6,-0.574,s,cationic,CCCOP1(=O)OCCCO1,False,False,False,True,False,False,False,False,False,True,8,-10.6,1.0,23.364,1.084,1.196,0.474,7.481,2.316,0.287,2.51,1.157,-146.59,0.38,0.0,0.0,0.075,1.455,-3.13,3.5,19.821,0.11,-2.209,2.284,-2.098,0.474,2.027,1,-331.61,180.055,10.502,-174.42,180.14,19.765,11.325,1,-0.287,0.428,11.325,26.013,44.76,66,2.737,0.0,4.214,0.622,0.957,5.268,18.136,31.205,0.276,0.0,1.285,1.285,1.241,2.062,1,0.727,0.0,3.969,3.315,18.136,2.091,1,4,19.765,2.636,0.0,2.3,0.0,8.157,5.167,9.2,0.077,12.842,66.448,11,167.036,1509.841,1
7,3.035,s,ROP,CC(C)(C)C1CCOC(=O)CC1,False,False,True,False,False,False,False,False,False,True,9,-11.5,0.9,26.25,0.599,1.271,0.305,5.69,2.516,0.305,2.333,1.171,-121.24,0.36,0.0,0.0,-0.142,1.333,-0.026,4.06,12.576,-0.53,-2.281,2.269,-2.2,0.466,2.111,1,-282.71,170.131,9.766,-149.97,170.252,40.034,10.933,1,-0.466,0.026,10.933,4.989,26.3,70,2.651,6.421,3.461,0.522,0.638,5.499,9.531,16.533,0.236,10.933,1.483,1.483,2.651,1.69,1,1.69,20.771,4.611,7.301,9.531,2.0,1,2,40.034,2.583,0.313,4.611,0.602,9.19,5.63,9.557,0.032,24.175,74.293,12,152.108,1647.099,1
8,2.151,l,cyclic,CC1CCCCC1,False,False,False,False,True,False,False,False,True,False,8,-0.781,1.0,25.286,-0.004,0.242,-0.044,4.591,2.123,0.044,2.215,0.125,-36.4,0.11,0.0,0.0,0.385,1.0,1.036,0.14,0.0,0.0,-2.151,2.054,-1.994,0.063,1.686,1,-93.3,98.11,9.911,-56.119,98.189,39.028,2.36,1,-0.063,1.036,2.36,0.0,0.0,42,1.894,0.0,2.344,0.437,0.0,3.394,0.0,14.116,0.241,0.0,0.986,0.986,1.894,1.307,0,1.307,6.924,2.743,2.36,0.0,1.571,0,0,39.028,1.857,0.0,2.743,1.036,5.113,3.358,5.143,0.002,5.918,45.923,7,84.077,960.808,1
9,0.717,l,cyclic,C1CCCCC1,False,False,False,False,True,False,False,False,True,False,8,0.062,1.0,24.0,0.008,0.25,-0.053,4.506,2.0,0.053,2.147,0.124,-29.469,0.0,0.0,0.0,0.504,0.333,1.5,0.08,0.0,0.0,-2.052,1.95,-1.855,0.053,1.72,1,-79.3,84.094,10.012,-49.892,84.162,38.525,1.5,1,-0.053,1.5,1.5,0.0,0.0,36,1.5,0.0,2.222,0.422,0.0,3.0,0.0,14.014,0.243,0.0,0.845,0.845,1.5,1.061,0,1.061,0.0,2.121,0.0,0.0,0.5,0,0,38.525,0.667,0.0,2.121,0.0,4.243,2.884,4.167,-0.0,0.0,39.558,6,72.066,823.55,1
