,dS (cal/mol/K),BASE_Monomer_State,BASE_Category,Canonical SMILES,Global_Test,BASE_Category_ROMP,BASE_Category_ROP,BASE_Category_cationic,BASE_Category_cyclic,BASE_Category_ionic,BASE_Category_vinyl/acrylic,BASE_Monomer_State_g,BASE_Monomer_State_l,BASE_Monomer_State_s,STERICS_Backbone_Length,MIX_dGsolv298(kJ/mol),MIX_logK,SOLUTE_B_ML,SOLUTE_S_ML,RDKIT_SPS,PEP_dH_(kcal/mol),MIX_dHsolv298(kJ/mol),RDKIT_NumAliphaticRings,RDKIT_FractionCSP3,RDKIT_BCUT2D_LOGPLOW,SOLUTE_B_GC,SOLUTE_S_GC,MIX_dSsolv298(kJ/mol/K),STERICS_Side_Chain_Ratio,RDKIT_FpDensityMorgan3,RDKIT_BCUT2D_CHGHI,SOLUTE_E_GC,RDKIT_RingCount,MIX_logP,RDKIT_BalabanJ,RDKIT_Kappa3,RDKIT_MaxEStateIndex,RDKIT_MaxAbsEStateIndex,STERICS_Volume,RDKIT_VSA_EState1,TANIMOTO,RDKIT_MinPartialCharge,RDKIT_BCUT2D_CHGLO,RDKIT_MinEStateIndex,RDKIT_MaxAbsPartialCharge,DIPOLE_mmff94,SOLUTE_L_ML,SOLUTE_L_GC,RDKIT_HeavyAtomCount,RDKIT_NumAliphaticHeterocycles,RDKIT_VSA_EState2,STERICS_Wiener_Index,RDKIT_Chi1,RDKIT_PEOE_VSA7,RDKIT_fr_lactone,STERICS_VDW_Volume,RDKIT_Chi1v,RDKIT_BCUT2D_MRHI,RDKIT_Chi1n,RDKIT_Chi4v,RDKIT_SlogP_VSA2,RDKIT_EState_VSA8,PEP_dHf_2,RDKIT_NumSaturatedRings,PEP_dHf_0,RDKIT_Chi3v,RDKIT_SlogP_VSA3,RDKIT_PEOE_VSA14,RDKIT_NumHAcceptors,RDKIT_MinAbsEStateIndex,RDKIT_HallKierAlpha,RDKIT_Chi2n,PEP_dHf_1,RDKIT_Chi3n,RDKIT_NumValenceElectrons,RDKIT_AvgIpc,RDKIT_fr_ether,RDKIT_Chi0n,RDKIT_TPSA,RDKIT_NumSaturatedHeterocycles,RDKIT_qed,RDKIT_Chi0,RDKIT_NOCount,RDKIT_VSA_EState7,RDKIT_Chi2v,SOLUTE_E_ML,RDKIT_Chi4n,RDKIT_Chi0v,RDKIT_SMR_VSA5,RDKIT_PEOE_VSA1,RDKIT_LabuteASA,RDKIT_MaxPartialCharge,RDKIT_Kappa2,SOLUTE_V_GC
0,1.673,l,ROP,O=C1CCCCCCCO1,False,False,True,False,False,False,False,False,True,False,11,-34.69,6.08,0.572,1.435,22.2,-0.0,-57.39,1,0.875,-2.031,0.492,1.366,-0.076,0.08,2.6,2.038,0.389,1,1.88,2.21,2.853,10.766,10.766,1372.583,4.924,1.0,-0.466,-1.987,-0.012,0.466,2.22,5.239,5.297,10,1,10.766,277,4.894,12.842,1,244.29,4.05,5.687,4.05,1.16,12.576,0.0,-249.17,1,-115.97,1.788,9.531,5.969,2,0.012,-0.53,2.738,-133.2,1.788,58,2.021,1,6.266,26.3,1,0.483,7.234,2,6.351,2.738,0.39,1.16,6.266,38.525,4.737,61.563,0.305,4.312,1.202
1,2.079,s,ROP,CC1CCCSC(=S)S1,False,False,True,False,False,False,False,False,False,True,9,-21.97,3.85,0.401,1.144,29.889,-0.0,-36.39,1,0.833,-1.932,0.478,1.229,-0.048,0.18,3.222,2.104,1.153,1,3.28,2.374,2.915,5.095,5.095,1235.324,1.139,0.065,-0.108,-2.023,0.757,0.108,4.18,6.868,6.267,9,1,0.0,192,4.288,18.594,0,219.861,5.396,8.469,3.122,3.632,14.531,6.924,-8.34,1,5.62,4.116,0.0,0.0,3,0.757,0.79,2.169,-13.96,1.272,52,1.93,0,5.423,0.0,1,0.523,6.69,0,2.663,5.907,1.429,0.784,7.873,25.015,0.0,70.163,0.104,3.837,1.293
2,2.868,l,ROP,O=C1CCCCCCCCO1,False,False,True,False,False,False,False,False,True,False,12,-36.04,6.32,0.577,1.415,22.364,-0.0,-58.46,1,0.889,-2.062,0.473,1.422,-0.075,0.08,2.364,2.034,0.414,1,2.23,2.168,4.017,10.879,10.879,1509.841,4.979,1.0,-0.466,-2.069,-0.008,0.466,2.03,5.667,5.78,11,1,10.879,354,5.394,12.842,1,268.719,4.55,5.687,4.55,1.337,12.576,0.0,-258.97,1,-120.87,2.038,9.531,5.969,2,0.008,-0.53,3.092,-138.1,2.038,64,2.027,1,6.973,26.3,1,0.503,7.941,2,7.678,3.092,0.366,1.337,6.973,44.946,4.737,67.928,0.305,5.164,1.342
3,4.302,l,ROP,O=C1CCCCCCCCCO1,False,False,True,False,False,False,False,False,True,False,13,-37.61,6.59,0.577,1.399,22.5,-0.0,-59.92,1,0.9,-2.044,0.492,1.343,-0.075,0.07,2.167,2.031,0.459,1,2.59,2.173,4.369,10.991,10.991,1647.099,5.035,1.0,-0.466,-2.013,-0.003,0.466,2.04,6.066,6.263,12,1,10.991,444,5.894,12.842,1,293.148,5.05,5.687,5.05,1.513,12.576,0.0,-268.77,1,-125.77,2.288,9.531,5.969,2,0.003,-0.53,3.445,-143.0,2.288,70,2.111,1,7.68,26.3,1,0.522,8.648,2,9.006,3.445,0.35,1.513,7.68,51.367,4.737,74.293,0.305,6.038,1.483
4,5.975,l,ROP,O=C1CCCCCCCCCCO1,False,False,True,False,False,False,False,False,True,False,14,-39.42,6.91,0.584,1.389,22.615,-0.0,-61.71,1,0.909,-2.056,0.492,1.388,-0.075,0.07,2.0,2.029,0.483,1,2.98,2.145,5.669,11.077,11.077,1784.358,5.076,1.0,-0.466,-2.067,0.001,0.466,2.01,6.552,6.807,13,1,11.077,548,6.394,12.842,1,317.577,5.55,5.687,5.55,1.69,12.576,0.0,-278.57,1,-130.67,2.538,9.531,5.969,2,0.001,-0.53,3.799,-147.9,2.538,76,2.109,1,8.388,26.3,1,0.541,9.356,2,10.376,3.799,0.334,1.69,8.388,57.787,4.737,80.658,0.305,6.93,1.624
5,5.975,l,ROP,O=C1CCCCCCCCCCCO1,False,False,True,False,False,False,False,False,True,False,15,-41.38,7.25,0.585,1.379,22.714,0.0,-63.75,1,0.917,-2.048,0.492,1.414,-0.075,0.06,1.857,2.027,0.516,1,3.4,2.147,6.005,11.163,11.163,1921.616,5.117,1.0,-0.466,-2.027,0.004,0.466,1.96,7.001,7.379,14,1,11.163,667,6.894,12.842,1,342.006,6.05,5.687,6.05,1.867,12.576,0.0,-288.37,1,-135.57,2.788,9.531,5.969,2,0.004,-0.53,4.152,-152.8,2.788,82,2.203,1,9.095,26.3,1,0.557,10.063,2,11.746,4.152,0.323,1.867,9.095,64.208,4.737,87.023,0.305,7.835,1.765
6,1.076,s,cationic,CCCOP1(=O)OCCCO1,False,False,False,True,False,False,False,False,False,True,8,-17.03,2.99,1.084,1.157,23.364,-10.6,-30.97,1,1.0,-2.098,0.957,1.196,-0.047,0.38,2.636,2.284,0.276,1,2.01,2.316,2.912,11.325,11.325,1509.841,26.013,0.038,-0.287,-2.209,-3.13,0.474,3.5,5.167,5.713,11,1,0.0,306,5.268,12.842,0,268.719,5.264,7.481,3.803,2.062,19.821,0.0,-331.61,1,-146.59,2.737,18.136,7.823,4,0.428,0.11,2.3,-174.42,1.241,66,2.027,0,6.616,44.76,1,0.622,8.157,4,1.607,3.969,0.309,0.727,7.51,19.765,0.0,66.448,0.474,4.214,1.285
7,-5.903,s,ROP,CC(C)(C)C1CCOC(=O)CC1,False,False,True,False,False,False,False,False,False,True,9,-20.8,3.65,0.599,1.171,26.25,-11.5,-35.57,1,0.9,-2.2,0.638,1.271,-0.05,0.36,2.583,2.269,0.236,1,3.07,2.516,2.505,10.933,10.933,1647.099,4.989,0.061,-0.466,-2.281,-0.026,0.466,4.06,5.63,5.982,12,1,10.933,333,5.499,24.175,1,293.148,4.656,5.69,4.656,1.69,12.576,20.771,-282.71,1,-121.24,2.651,9.531,5.969,2,0.026,-0.53,4.611,-149.97,2.651,70,2.111,1,8.222,26.3,1,0.522,9.19,2,2.611,4.611,0.307,1.69,8.222,40.034,4.737,74.293,0.305,3.461,1.483
8,-7.648,l,cyclic,CC1CCCCC1,False,False,False,False,True,False,False,False,True,False,8,-20.03,3.51,-0.004,0.125,25.286,-0.781,-34.61,1,1.0,-1.994,0.0,0.242,-0.049,0.11,1.857,2.054,0.241,1,4.76,2.123,1.5,2.36,2.36,960.808,0.0,1.0,-0.063,-2.151,1.036,0.063,0.14,3.358,3.41,7,0,0.0,110,3.394,5.918,0,171.003,3.394,4.591,3.394,1.307,0.0,6.924,-93.3,1,-36.4,1.894,0.0,0.0,0,1.036,0.0,2.743,-56.119,1.894,42,1.686,0,5.113,0.0,0,0.437,5.113,0,7.437,2.743,0.244,1.307,5.113,39.028,0.0,45.923,-0.044,2.344,0.986
9,-2.629,l,cyclic,C1CCCCC1,False,False,False,False,True,False,False,False,True,False,8,-18.58,3.26,0.008,0.124,24.0,0.062,-31.32,1,1.0,-1.855,0.0,0.25,-0.043,0.0,0.667,1.95,0.243,1,4.17,2.0,1.0,1.5,1.5,823.55,0.0,1.0,-0.053,-2.052,1.5,0.053,0.08,2.884,2.954,6,0,0.0,84,3.0,0.0,0,146.574,3.0,4.506,3.0,1.061,0.0,0.0,-79.3,1,-29.469,1.5,0.0,0.0,0,1.5,0.0,2.121,-49.892,1.5,36,1.72,0,4.243,0.0,0,0.422,4.243,0,9.0,2.121,0.318,1.061,4.243,38.525,0.0,39.558,-0.053,2.222,0.845
