,Tc (C),BASE_Monomer_State,BASE_Category,Canonical SMILES,Global_Test,BASE_Category_ROMP,BASE_Category_ROP,BASE_Category_cationic,BASE_Category_cyclic,BASE_Category_ionic,BASE_Category_vinyl/acrylic,BASE_Monomer_State_g,BASE_Monomer_State_l,BASE_Monomer_State_s,RDKIT_MolWt,PEP_dHf_1,MIX_dSsolv298(kJ/mol/K),PEP_dH_(kcal/mol),RDKIT_NumValenceElectrons,RDKIT_Kappa2,SOLUTE_L_ML,RDKIT_SlogP_VSA6,SOLUTE_E_ML,RDKIT_LabuteASA,PEP_dHf_0,RDKIT_EState_VSA8,RDKIT_FpDensityMorgan3,SOLUTE_V_ML,MIX_logK,SOLUTE_B_ML,RDKIT_VSA_EState4,RDKIT_NumSaturatedRings,STERICS_Wiener_Index,SOLUTE_B_GC,RDKIT_SPS,RDKIT_MaxEStateIndex,SOLUTE_S_ML,RDKIT_VSA_EState2,RDKIT_BCUT2D_CHGHI,RDKIT_MaxPartialCharge,SOLUTE_E_GC,RDKIT_Chi1n,RDKIT_MinEStateIndex,RDKIT_HeavyAtomMolWt,RDKIT_SMR_VSA7,RDKIT_PEOE_VSA14,SOLUTE_L_GC,RDKIT_SlogP_VSA2,RDKIT_VSA_EState1,PEP_dHf_2,RDKIT_PEOE_VSA1,RDKIT_RingCount,RDKIT_MinPartialCharge,RDKIT_Chi4v,RDKIT_Chi0v,STERICS_VDW_Volume,RDKIT_Chi0,RDKIT_SMR_VSA1,RDKIT_FpDensityMorgan2,RDKIT_NumAliphaticRings,RDKIT_NumSaturatedHeterocycles,RDKIT_SlogP_VSA5,RDKIT_Chi1v,RDKIT_ExactMolWt,RDKIT_Kappa3,RDKIT_NumAliphaticHeterocycles,RDKIT_PEOE_VSA7,RDKIT_SMR_VSA5,RDKIT_Chi2n,RDKIT_fr_lactone,RDKIT_VSA_EState7,RDKIT_BCUT2D_CHGLO,STERICS_Side_Chain_Ratio,RDKIT_Chi3v,RDKIT_Chi4n,RDKIT_BCUT2D_MRHI,MIX_logP,TANIMOTO,RDKIT_VSA_EState8,RDKIT_Chi3n,RDKIT_MaxAbsEStateIndex,RDKIT_fr_ether,RDKIT_Chi1,DIPOLE_mmff94,STERICS_Backbone_Length,RDKIT_NumHAcceptors,SOLUTE_V_GC,RDKIT_qed,STERICS_Volume,RDKIT_Chi2v,RDKIT_MinAbsEStateIndex,RDKIT_TPSA,MIX_dHsolv298(kJ/mol),RDKIT_HeavyAtomCount,SOLUTE_A_ML,RDKIT_AvgIpc,RDKIT_BCUT2D_MRLOW,RDKIT_FractionCSP3,RDKIT_VSA_EState5,RDKIT_BCUT2D_MWHI,RDKIT_Kappa1,RDKIT_BCUT2D_LOGPHI,RDKIT_NOCount,RDKIT_PEOE_VSA8,MIX_dGsolv298(kJ/mol),RDKIT_BCUT2D_LOGPLOW,RDKIT_FpDensityMorgan1,RDKIT_SlogP_VSA3,RDKIT_BalabanJ,RDKIT_HallKierAlpha,RDKIT_MaxAbsPartialCharge,RDKIT_MinAbsPartialCharge,RDKIT_BCUT2D_MWLOW,SOLUTE_S_GC,RDKIT_Chi0n
0,-3273.15,l,ROP,O=C1CCCCCCCO1,False,False,True,False,False,False,False,False,True,False,142.198,-133.2,-0.076,-0.0,58,4.312,5.239,0.0,0.39,61.563,-115.97,0.0,2.6,1.202,6.08,0.572,0.0,1,277,0.492,22.2,10.766,1.435,10.766,2.038,0.305,0.389,4.05,-0.012,128.086,0.0,5.969,5.297,12.576,4.924,-249.17,4.737,1,-0.466,1.16,6.266,244.29,7.234,9.531,1.7,1,1,38.525,4.05,142.099,2.853,1,12.842,38.525,2.738,1,6.351,-1.987,0.08,1.788,1.16,5.687,1.88,1.0,0.638,1.788,10.766,1,4.894,2.22,11,2,1.202,0.483,1372.583,2.738,0.012,26.3,-57.39,10,-0.002,2.021,-0.143,0.875,-0.012,16.532,7.576,2.087,2,6.421,-34.69,-2.031,1.0,9.531,2.21,-0.53,0.466,0.305,10.13,1.366,6.266
1,-2353.958,s,ROP,CC1CCCSC(=S)S1,False,False,True,False,False,False,False,False,False,True,178.347,-13.96,-0.048,-0.0,52,3.837,6.868,0.0,1.429,70.163,5.62,6.924,3.222,1.293,3.85,0.401,0.0,1,192,0.478,29.889,5.095,1.144,0.0,2.104,0.104,1.153,3.122,0.757,168.267,0.0,0.0,6.267,14.531,1.139,-8.34,0.0,1,-0.108,3.632,7.873,219.861,6.69,0.0,2.444,1,1,19.765,5.396,177.994,2.915,1,18.594,25.015,2.169,0,2.663,-2.023,0.18,4.116,0.784,8.469,3.28,0.065,2.253,1.272,5.095,0,4.288,4.18,9,3,1.293,0.523,1235.324,5.907,0.757,0.0,-36.39,9,-0.027,1.93,0.8,0.833,1.232,32.235,7.892,2.289,0,5.25,-21.97,-1.932,1.667,0.0,2.374,0.79,0.108,0.104,10.264,1.229,5.423
2,-2106.483,l,ROP,O=C1CCCCCCCCO1,False,False,True,False,False,False,False,False,True,False,156.225,-138.1,-0.075,-0.0,64,5.164,5.667,0.0,0.366,67.928,-120.87,0.0,2.364,1.342,6.32,0.577,0.0,1,354,0.473,22.364,10.879,1.415,10.879,2.034,0.305,0.414,4.55,-0.008,140.097,0.0,5.969,5.78,12.576,4.979,-258.97,4.737,1,-0.466,1.337,6.973,268.719,7.941,9.531,1.545,1,1,44.946,4.55,156.115,4.017,1,12.842,44.946,3.092,1,7.678,-2.069,0.08,2.038,1.337,5.687,2.23,1.0,0.638,2.038,10.879,1,5.394,2.03,12,2,1.342,0.503,1509.841,3.092,0.008,26.3,-58.46,11,-0.0,2.027,-0.144,0.889,-0.008,16.532,8.566,2.097,2,6.421,-36.04,-2.062,0.909,9.531,2.168,-0.53,0.466,0.305,10.09,1.422,6.973
3,-1606.483,l,ROP,O=C1CCCCCCCCCO1,False,False,True,False,False,False,False,False,True,False,170.252,-143.0,-0.075,-0.0,70,6.038,6.066,0.0,0.35,74.293,-125.77,0.0,2.167,1.483,6.59,0.577,0.0,1,444,0.492,22.5,10.991,1.399,10.991,2.031,0.305,0.459,5.05,-0.003,152.108,0.0,5.969,6.263,12.576,5.035,-268.77,4.737,1,-0.466,1.513,7.68,293.148,8.648,9.531,1.417,1,1,51.367,5.05,170.131,4.369,1,12.842,51.367,3.445,1,9.006,-2.013,0.07,2.288,1.513,5.687,2.59,1.0,0.638,2.288,10.991,1,5.894,2.04,13,2,1.483,0.522,1647.099,3.445,0.003,26.3,-59.92,12,0.0,2.111,-0.143,0.9,-0.003,16.532,9.557,2.105,2,6.421,-37.61,-2.044,0.833,9.531,2.173,-0.53,0.466,0.305,10.092,1.343,7.68
4,-1353.15,l,ROP,O=C1CCCCCCCCCCO1,False,False,True,False,False,False,False,False,True,False,184.279,-147.9,-0.075,-0.0,76,6.93,6.552,0.0,0.334,80.658,-130.67,0.0,2.0,1.624,6.91,0.584,0.0,1,548,0.492,22.615,11.077,1.389,11.077,2.029,0.305,0.483,5.55,0.001,164.119,0.0,5.969,6.807,12.576,5.076,-278.57,4.737,1,-0.466,1.69,8.388,317.577,9.356,9.531,1.308,1,1,57.787,5.55,184.146,5.669,1,12.842,57.787,3.799,1,10.376,-2.067,0.07,2.538,1.69,5.687,2.98,1.0,0.638,2.538,11.077,1,6.394,2.01,14,2,1.624,0.541,1784.358,3.799,0.001,26.3,-61.71,13,0.002,2.109,-0.143,0.909,0.001,16.532,10.55,2.112,2,6.421,-39.42,-2.056,0.769,9.531,2.145,-0.53,0.466,0.305,10.068,1.388,8.388
5,-953.15,l,ROP,O=C1CCCCCCCCCCCO1,False,False,True,False,False,False,False,False,True,False,198.306,-152.8,-0.075,0.0,82,7.835,7.001,0.0,0.323,87.023,-135.57,0.0,1.857,1.765,7.25,0.585,0.0,1,667,0.492,22.714,11.163,1.379,11.163,2.027,0.305,0.516,6.05,0.004,176.13,0.0,5.969,7.379,12.576,5.117,-288.37,4.737,1,-0.466,1.867,9.095,342.006,10.063,9.531,1.214,1,1,64.208,6.05,198.162,6.005,1,12.842,64.208,4.152,1,11.746,-2.027,0.06,2.788,1.867,5.687,3.4,1.0,0.638,2.788,11.163,1,6.894,1.96,15,2,1.765,0.557,1921.616,4.152,0.004,26.3,-63.75,14,0.002,2.203,-0.143,0.917,0.004,16.532,11.544,2.117,2,6.421,-41.38,-2.048,0.714,9.531,2.147,-0.53,0.466,0.305,10.069,1.414,9.095
6,-806.607,s,cationic,CCCOP1(=O)OCCCO1,False,False,False,True,False,False,False,False,False,True,180.14,-174.42,-0.047,-10.6,66,4.214,5.167,0.0,0.309,66.448,-146.59,0.0,2.636,1.285,2.99,1.084,0.0,1,306,0.957,23.364,11.325,1.157,0.0,2.284,0.474,0.276,3.803,-3.13,167.036,0.0,7.823,5.713,19.821,26.013,-331.61,0.0,1,-0.287,2.062,7.51,268.719,8.157,18.136,2.091,1,1,19.765,5.264,180.055,2.912,1,12.842,19.765,2.3,0,1.607,-2.209,0.38,2.737,0.727,7.481,2.01,0.038,3.315,1.241,11.325,0,5.268,3.5,8,4,1.285,0.622,1509.841,3.969,0.428,44.76,-30.97,11,0.077,2.027,0.075,1.0,0.0,31.205,9.2,2.51,4,0.0,-17.03,-2.098,1.455,18.136,2.316,0.11,0.474,0.287,10.502,1.196,6.616
7,-787.295,s,ROP,CC(C)(C)C1CCOC(=O)CC1,False,False,True,False,False,False,False,False,False,True,170.252,-149.97,-0.05,-11.5,70,3.461,5.63,0.0,0.307,74.293,-121.24,20.771,2.583,1.483,3.65,0.599,0.313,1,333,0.638,26.25,10.933,1.171,10.933,2.269,0.305,0.236,4.656,-0.026,152.108,0.0,5.969,5.982,12.576,4.989,-282.71,4.737,1,-0.466,1.69,8.222,293.148,9.19,9.531,2.0,1,1,40.034,4.656,170.131,2.505,1,24.175,40.034,4.611,1,2.611,-2.281,0.36,2.651,1.69,5.69,3.07,0.061,7.301,2.651,10.933,1,5.499,4.06,9,2,1.483,0.522,1647.099,4.611,0.026,26.3,-35.57,12,0.032,2.111,-0.142,0.9,0.602,16.533,9.557,2.333,2,6.421,-20.8,-2.2,1.333,9.531,2.516,-0.53,0.466,0.305,9.766,1.271,8.222
8,-554.4,l,cyclic,CC1CCCCC1,False,False,False,False,True,False,False,False,True,False,98.189,-56.119,-0.049,-0.781,42,2.344,3.358,0.0,0.244,45.923,-36.4,6.924,1.857,0.986,3.51,-0.004,0.0,1,110,0.0,25.286,2.36,0.125,0.0,2.054,-0.044,0.241,3.394,1.036,84.077,0.0,0.0,3.41,0.0,0.0,-93.3,0.0,1,-0.063,1.307,5.113,171.003,5.113,0.0,1.571,1,0,39.028,3.394,98.11,1.5,0,5.918,39.028,2.743,0,7.437,-2.151,0.11,1.894,1.307,4.591,4.76,1.0,2.36,1.894,2.36,0,3.394,0.14,8,0,0.986,0.437,960.808,2.743,1.036,0.0,-34.61,7,0.002,1.686,0.385,1.0,1.036,14.116,5.143,2.215,0,0.0,-20.03,-1.994,1.0,0.0,2.123,0.0,0.063,0.044,9.911,0.242,5.113
9,-545.877,l,cyclic,C1CCCCC1,False,False,False,False,True,False,False,False,True,False,84.162,-49.892,-0.043,0.062,36,2.222,2.884,0.0,0.318,39.558,-29.469,0.0,0.667,0.845,3.26,0.008,0.0,1,84,0.0,24.0,1.5,0.124,0.0,1.95,-0.053,0.243,3.0,1.5,72.066,0.0,0.0,2.954,0.0,0.0,-79.3,0.0,1,-0.053,1.061,4.243,146.574,4.243,0.0,0.5,1,0,38.525,3.0,84.094,1.0,0,0.0,38.525,2.121,0,9.0,-2.052,0.0,1.5,1.061,4.506,4.17,1.0,0.0,1.5,1.5,0,3.0,0.08,8,0,0.845,0.422,823.55,2.121,1.5,0.0,-31.32,6,-0.0,1.72,0.504,1.0,0.0,14.014,4.167,2.147,0,0.0,-18.58,-1.855,0.333,0.0,2.0,0.0,0.053,0.053,10.012,0.25,4.243
