target_Name,model,nested_cv_mae,nested_cv_std,nested_cv_r2_mean,nested_cv_r2_std,test_mae,test_r2,split_type
enthalpy,gpr,2.88,0.5,0.67,0.11,1.99,0.85,chemistry_cluster
enthalpy,rf,2.83,0.55,0.64,0.14,1.27,0.91,chemistry_cluster
enthalpy,xgb,3.01,0.69,0.61,0.18,1.48,0.9,chemistry_cluster
enthalpy,svr,3.06,0.5,0.59,0.09,1.7,0.87,chemistry_cluster
enthalpy,krr,3.35,1.42,0.45,0.54,1.78,0.89,chemistry_cluster
entropy,gpr,4.15,0.6,0.76,0.07,3.4,0.76,chemistry_cluster
entropy,rf,4.15,0.67,0.77,0.07,3.51,0.76,chemistry_cluster
entropy,xgb,4.25,0.83,0.76,0.08,4.05,0.69,chemistry_cluster
entropy,svr,4.66,0.89,0.71,0.1,3.24,0.8,chemistry_cluster
entropy,krr,7.6,9.45,-35.28,108.04,3.91,0.66,chemistry_cluster
tc,gpr,389.52,209.92,-0.11,0.12,239.0,-0.72,chemistry_cluster
tc,rf,442.86,255.17,-0.35,0.58,288.0,-3.09,chemistry_cluster
tc,xgb,437.98,270.38,-0.22,0.27,194.0,0.12,chemistry_cluster
tc,svr,371.18,198.81,-0.09,0.1,196.0,-0.06,chemistry_cluster
tc,krr,400.2,233.27,-0.17,0.18,197.0,-0.22,chemistry_cluster
log_tc,gpr,365.24,202.62,-0.08,0.14,173.87,-0.08,chemistry_cluster
log_tc,rf,362.36,195.92,-0.09,0.15,142.13,0.23,chemistry_cluster
log_tc,xgb,352.45,197.6,-0.01,0.22,203.79,-0.72,chemistry_cluster
log_tc,svr,387.14,217.29,-0.5,0.96,143.17,0.31,chemistry_cluster
log_tc,krr,445.24,320.86,-1.34,3.09,156.95,0.09,chemistry_cluster
enthalpy,gpr,2.38,0.4,0.75,0.09,1.99,0.85,phase
enthalpy,rf,2.39,0.47,0.71,0.11,1.26,0.9,phase
enthalpy,xgb,2.44,0.41,0.71,0.09,1.48,0.9,phase
enthalpy,svr,2.65,0.42,0.66,0.11,1.7,0.87,phase
enthalpy,krr,2.48,0.51,0.7,0.13,1.99,0.82,phase
entropy,gpr,4.05,0.43,0.75,0.12,3.4,0.76,phase
entropy,rf,3.94,0.33,0.76,0.12,3.39,0.77,phase
entropy,xgb,4.0,0.39,0.76,0.1,3.56,0.75,phase
entropy,svr,4.2,0.42,0.73,0.14,3.24,0.8,phase
entropy,krr,7.02,8.88,-20.72,64.38,3.91,0.66,phase
tc,gpr,362.74,128.0,0.07,0.16,239.0,-0.72,phase
tc,rf,390.65,141.79,-0.29,0.66,226.0,-0.61,phase
tc,xgb,381.35,136.47,0.09,0.18,194.0,0.12,phase
tc,svr,368.99,128.29,-0.03,0.05,196.0,-0.06,phase
tc,krr,375.22,137.61,-0.05,0.29,197.0,-0.22,phase
log_tc,gpr,359.77,130.99,0.02,0.12,173.87,-0.08,phase
log_tc,rf,351.6,142.06,0.05,0.13,160.17,0.07,phase
log_tc,xgb,331.12,130.71,0.14,0.19,140.63,0.2,phase
log_tc,svr,354.25,131.42,-0.0,0.26,143.17,0.31,phase
log_tc,krr,366.66,132.92,-0.12,0.55,156.95,0.09,phase
